Node1_T,Node2,Mutual_Rank
RBCS1B_(AT5G38430),PGK_(AT1G79550),0.000001
RBCS1B_(AT5G38430),PGK1_(AT3G12780),0.000001
RBCS1B_(AT5G38430),PRK_(AT1G32060),0.000001
RBCS1B_(AT5G38430),RBCS1A_(AT1G67090),0.098273586
RBCS1B_(AT5G38430),RBCS1B_(AT5G38430),1
RBCS1B_(AT5G38430),RBCS2B_(AT5G38420),0.983576363
RBCS1B_(AT5G38430),RBCS3B_(AT5G38410),0.818730753
RBCS1B_(AT5G38430),SBPASE_(AT3G55800),0.000001
RBCS1B_(AT5G38430),TKTB_(AT3G60750),0.000001
RBCS2B_(AT5G38420),EMB3119_(AT3G04790),0.000001
RBCS2B_(AT5G38420),FBA1_(AT2G21330),0.000001
RBCS2B_(AT5G38420),FBA2_(AT4G38970),0.000001
RBCS2B_(AT5G38420),FBA8_(AAT3G52930),0.000001
RBCS2B_(AT5G38420),FBP_(AT5G64380),0.000001
RBCS2B_(AT5G38420),GAPA_(AT3G26650),0.000001
RBCS2B_(AT5G38420),GAPA-2_(AT1G12900),0.000001
RBCS2B_(AT5G38420),GAPAB_(AT1G42970),0.000001
RBCS2B_(AT5G38420),GAPC1_(AT3G04120),0.000001
RBCS2B_(AT5G38420),HCEF1_(AT3G54050),0.000001
RBCS2B_(AT5G38420),PGK_(AT1G56190),0.000001
RBCS2B_(AT5G38420),PGK_(AT1G79550),0.000001
RBCS2B_(AT5G38420),PGK1_(AT3G12780),0.000001
RBCS2B_(AT5G38420),PRK_(AT1G32060),0.000001
RBCS2B_(AT5G38420),RBCS1A_(AT1G67090),0.257246631
RBCS2B_(AT5G38420),RBCS1B_(AT5G38430),0.983576363
RBCS2B_(AT5G38420),RBCS2B_(AT5G38420),1
RBCS2B_(AT5G38420),RBCS3B_(AT5G38410),0.943687694
RBCS2B_(AT5G38420),SBPASE_(AT3G55800),0.000001
RBCS2B_(AT5G38420),TKTB_(AT3G60750),0.000001
RBCS3B_(AT5G38410),EMB3119_(AT3G04790),0.000001
RBCS3B_(AT5G38410),FBA1_(AT2G21330),0.000001
RBCS3B_(AT5G38410),FBA2_(AT4G38970),0.000001
RBCS3B_(AT5G38410),FBA8_(AAT3G52930),0.000001
RBCS3B_(AT5G38410),FBP_(AT5G64380),0.000001
RBCS3B_(AT5G38410),GAPA_(AT3G26650),0.000001
RBCS3B_(AT5G38410),GAPA-2_(AT1G12900),0.000001
RBCS3B_(AT5G38410),GAPAB_(AT1G42970),0.000001
RBCS3B_(AT5G38410),GAPC1_(AT3G04120),0.000001
RBCS3B_(AT5G38410),HCEF1_(AT3G54050),0.000001
RBCS3B_(AT5G38410),PGK_(AT1G56190),0.000001
RBCS3B_(AT5G38410),PGK_(AT1G79550),0.000001
RBCS3B_(AT5G38410),PGK1_(AT3G12780),0.000001
RBCS3B_(AT5G38410),PRK_(AT1G32060),0.000001
RBCS3B_(AT5G38410),RBCS1A_(AT1G67090),0.24016238
RBCS3B_(AT5G38410),RBCS1B_(AT5G38430),0.818730753
RBCS3B_(AT5G38410),RBCS2B_(AT5G38420),0.943687694
RBCS3B_(AT5G38410),RBCS3B_(AT5G38410),1
RBCS3B_(AT5G38410),SBPASE_(AT3G55800),0.000001
RBCS3B_(AT5G38410),TKTB_(AT3G60750),0.000001
SBPASE_(AT3G55800),EMB3119_(AT3G04790),0.000001
SBPASE_(AT3G55800),FBA1_(AT2G21330),0.089596412
SBPASE_(AT3G55800),FBA2_(AT4G38970),0.960789439
SBPASE_(AT3G55800),FBA8_(AAT3G52930),0.000001
SBPASE_(AT3G55800),FBP_(AT5G64380),0.000001
SBPASE_(AT3G55800),GAPA_(AT3G26650),0.70050064
SBPASE_(AT3G55800),GAPA-2_(AT1G12900),0.000001
SBPASE_(AT3G55800),GAPAB_(AT1G42970),1
SBPASE_(AT3G55800),GAPC1_(AT3G04120),0.000001
SBPASE_(AT3G55800),HCEF1_(AT3G54050),0.000001
SBPASE_(AT3G55800),PGK_(AT1G56190),0.000001
SBPASE_(AT3G55800),PGK_(AT1G79550),0.000001
SBPASE_(AT3G55800),PGK1_(AT3G12780),0.71214054
SBPASE_(AT3G55800),PRK_(AT1G32060),0.124177908
SBPASE_(AT3G55800),RBCS1A_(AT1G67090),0.166453381
SBPASE_(AT3G55800),RBCS1B_(AT5G38430),0.000001
SBPASE_(AT3G55800),RBCS2B_(AT5G38420),0.000001
SBPASE_(AT3G55800),RBCS3B_(AT5G38410),0.000001
SBPASE_(AT3G55800),SBPASE_(AT3G55800),1
SBPASE_(AT3G55800),TKTB_(AT3G60750),0.036231006
TKTB_(AT3G60750),EMB3119_(AT3G04790),0.06228965
TKTB_(AT3G60750),FBA1_(AT2G21330),0.000001
TKTB_(AT3G60750),FBA2_(AT4G38970),0.000001
TKTB_(AT3G60750),FBA8_(AAT3G52930),0.000001
TKTB_(AT3G60750),FBP_(AT5G64380),0.000001
TKTB_(AT3G60750),GAPA_(AT3G26650),0.000001
TKTB_(AT3G60750),GAPA-2_(AT1G12900),0.000001
TKTB_(AT3G60750),GAPAB_(AT1G42970),0.000001
TKTB_(AT3G60750),GAPC1_(AT3G04120),0.000001
TKTB_(AT3G60750),HCEF1_(AT3G54050),0.000001
TKTB_(AT3G60750),PGK_(AT1G56190),0.280416298
TKTB_(AT3G60750),PGK_(AT1G79550),0.000001
TKTB_(AT3G60750),PGK1_(AT3G12780),0.681594754
TKTB_(AT3G60750),PRK_(AT1G32060),0.000001
TKTB_(AT3G60750),RBCS1A_(AT1G67090),0.000001
TKTB_(AT3G60750),RBCS1B_(AT5G38430),0.000001
TKTB_(AT3G60750),RBCS2B_(AT5G38420),0.000001
TKTB_(AT3G60750),RBCS3B_(AT5G38410),0.000001
TKTB_(AT3G60750),SBPASE_(AT3G55800),0.036231006
TKTB_(AT3G60750),TKTB_(AT3G60750),1
